timestamp_h,biogears_hr_bpm,heart_rate_bpm,map_mmhg,respiration_rate_bpm,spo2_pct,cardiac_output_l_min,blood_volume_l,central_venous_pressure_mmhg,total_body_fluid_l,urine_production_ml_min
0.0,72.00000006944444,72.00000006944444,90.9,15.96,97.89999999999999,,,,,
1.0,72.26125006944444,72.26125006944444,91.0,16.04,97.89999999999999,,,,,
2.0,72.26125006944444,72.26125006944444,91.0,16.04,97.89999999999999,,,,,
3.0,72.26125006944444,72.26125006944444,91.0,16.04,97.89999999999999,,,,,
4.0,72.26125006944444,72.26125006944444,91.0,16.04,97.89999999999999,,,,,
5.0,72.26125006944444,72.26125006944444,91.0,16.04,97.89999999999999,,,,,
6.0,72.26125006944444,72.26125006944444,91.0,16.04,97.89999999999999,,,,,
7.0,72.26125006944444,72.26125006944444,91.0,16.04,97.89999999999999,,,,,
8.0,72.26125006944444,72.26125006944444,91.0,16.04,97.89999999999999,,,,,
9.0,72.26125006944444,72.26125006944444,91.0,16.04,97.89999999999999,,,,,
10.0,72.26125006944444,72.26125006944444,91.0,16.04,97.89999999999999,,,,,
11.0,72.26125006944444,72.26125006944444,91.0,16.04,97.89999999999999,,,,,
12.0,72.26125006944444,72.26125006944444,91.0,16.04,97.89999999999999,,,,,
13.0,72.26125006944444,72.26125006944444,91.0,16.04,97.89999999999999,,,,,
14.0,72.26125006944444,72.26125006944444,91.0,16.04,97.89999999999999,,,,,
15.0,72.26125006944444,72.26125006944444,91.0,16.04,97.89999999999999,,,,,
16.0,72.26125006944444,72.26125006944444,91.0,16.04,97.89999999999999,,,,,
17.0,72.26125006944444,72.26125006944444,91.0,16.04,97.89999999999999,,,,,
18.0,72.26125006944444,72.26125006944444,91.0,16.04,97.89999999999999,,,,,
19.0,72.26125006944444,72.26125006944444,91.0,16.04,97.89999999999999,,,,,
20.0,72.26125006944444,72.26125006944444,91.0,16.04,97.89999999999999,,,,,
21.0,72.26125006944444,72.26125006944444,91.0,16.04,97.89999999999999,,,,,
22.0,72.26125006944444,72.26125006944444,91.0,16.04,97.89999999999999,,,,,
23.0,72.26125006944444,72.26125006944444,91.0,16.04,97.89999999999999,,,,,
24.0,72.26125006944444,72.26125006944444,91.0,16.04,97.89999999999999,,,,,
